system:index,2classEnsemble,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,GFSAD,SmoothCdl,confid,cropland,ensemMask,eviSum1014,eviSum818,evislope810,latitude,longitude,remapped,rp303_jan12_pm2_005,rp303_jan12_pm2_007
1_0,1,2811,2841,3962,3695,3525,3350,4008,4323,3065,2744,1833,1604,1580,1540,2277,2861,1,3,82,176,1,16834,36718,2803,48.56090305,-99.24663616,3,1,1
2_0,1,2528,3536,7608,8550,6841,7867,3448,2637,1573,1084,955,1317,1238,2383,2328,1552,1,1,100,5,1,29063,48468,2520,44.83675738,-97.52537424,1,1,1
7_0,1,4801,5888,7347,7447,4731,4517,4708,2451,2821,3189,2973,1546,1654,3884,3830,5262,1,0,100,5,1,30214,53803,4793,42.12267741,-98.44677623,1,1,1
10_0,1,3348,2634,3381,1852,1733,1937,1763,1606,1588,1151,1452,1338,1322,1379,2037,2712,1,0,54,36,1,12948,24591,3340,47.83784908,-103.0955578,1,1,1
11_0,1,3325,3013,4373,3508,2915,5173,3117,3133,2502,1449,1359,1618,1529,2036,2226,2817,1,0,73,176,1,17134,36102,3317,47.47160594,-99.73549934,3,1,1
12_0,1,2868,6015,6826,6371,5255,4197,2583,1424,1262,1498,1170,1270,1286,1746,1628,2476,1,1,100,1,1,27335,40905,2860,47.18863662,-98.11772334,1,1,1
13_0,1,1578,3435,4246,4167,3169,3206,1981,2030,1682,1441,1443,1369,1377,1398,1372,1521,1,1,92,23,1,16595,28387,1570,48.56683193,-101.0808163,1,1,1
16_0,1,4156,3430,3438,3591,3186,4029,4379,4134,3837,3595,3570,2245,2892,3317,3689,5072,1,0,32,28,1,17801,42941,4148,43.16508246,-99.66596973,1,1,1
20_0,2,1730,1454,2012,1276,1043,1165,1222,1379,1138,1100,984,989,1018,957,1059,1196,1,1,72,32,2,7515,14674,1722,47.09835594,-106.5873992,1,2,2
21_0,1,1547,1965,2823,4599,5711,4664,1860,1545,1601,1437,1471,1212,1315,1378,1757,1855,1,0,42,1,1,16645,29927,1539,41.26406766,-102.2622806,1,1,1
23_0,1,2617,3753,5624,5565,4343,3806,2065,1213,1314,1072,1096,892,1049,1399,1275,1762,1,1,100,5,1,21902,33337,2609,44.65592651,-98.18833092,1,1,1
25_0,1,4083,7220,6955,6326,4789,3018,1199,1362,1259,1188,100,1303,1215,1452,1573,1739,1,1,100,1,1,29373,39523,4075,47.06089619,-96.33366919,1,1,1
26_0,2,2088,1651,1607,1492,1465,1419,1367,1193,1432,1585,1919,1897,2260,2512,1979,2619,1,0,76,37,2,8303,18312,2080,44.31447687,-102.4854221,1,2,2
27_0,1,2458,3584,5187,4231,3907,4290,3685,3139,2917,2711,1622,1579,2226,2252,2408,3651,1,1,96,5,1,19367,39457,2450,47.23148626,-100.322728,1,1,1
30_0,1,4803,4993,4769,2269,1536,1506,1339,1701,1059,1219,1123,1311,1263,1562,1860,3254,1,1,100,23,1,18370,29089,4795,47.72142742,-99.69696161,1,1,1
35_0,1,3903,4533,4772,2834,2528,3939,4094,3664,4232,3466,2576,1552,1708,2197,2072,3238,1,3,100,176,1,18570,39809,3895,46.77927435,-99.1897728,3,1,1
36_0,1,3334,2699,2806,2015,1969,2217,2454,1965,1645,1877,1611,1189,1370,1424,1504,2616,1,0,64,1,1,12823,25224,3326,46.75636731,-101.7079302,1,1,1
