pm2_005,pm2_007,2classEnsemble,SAME VALS,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,GFSAD,SmoothCdl,confid,cropland,ensemMask,eviSum1014,eviSum818,evislope810,remapped,CDLcompareENSam
1,1,1,2,1034,1151,1290,1314,1486,1928,2796,5833,5969,6191,5110,2687,2162,2132,2107,-226,1,1,87,1,1,22717,37608,1920,1,11
1,1,1,2,964,1066,847,1116,1647,3759,4306,6739,4924,5000,3082,2388,1993,1667,1494,-232,1,1,100,1,1,24728,36621,3751,1,11
1,1,1,2,1086,1099,942,1276,1205,3139,5885,6427,5466,3454,2119,1978,1654,1634,1398,164,1,1,100,22,1,24371,34237,3131,1,11
1,1,1,2,622,771,1037,957,2380,2214,2892,3367,5904,7782,6867,3847,2280,1606,913,249,1,1,100,5,1,22159,40096,2206,1,11
1,1,1,2,1215,1008,1336,1636,1573,4803,6338,5365,2528,1535,1441,1188,1260,1273,1118,-39,1,1,100,23,1,20569,28940,4795,1,11
1,1,1,2,864,934,614,963,1769,3460,7217,6025,5834,2677,2348,1883,1991,1249,1214,-364,1,1,90,23,1,25213,35416,3452,1,11
1,1,1,2,1323,1324,1395,1476,1754,2172,5196,7314,7216,6379,5770,3013,2360,1669,2118,1521,1,1,100,1,1,28277,44319,2164,1,11
1,1,1,2,1328,1482,1358,1355,1474,1588,2618,7268,7553,8029,6125,1860,1719,1658,1587,1691,1,1,100,6,1,27056,41247,1580,1,11
1,1,1,2,1310,1421,1210,1239,1511,1878,3558,4467,6248,6532,6258,2309,1914,1628,1675,1386,1,1,93,5,1,22683,37542,1870,1,11
1,1,1,2,1456,1489,1469,1700,1409,1777,3283,3066,2249,1832,1636,1709,1127,1267,1223,1167,1,1,94,1,1,12207,21055,1769,1,11
1,1,1,2,1202,1172,1353,1324,1632,1982,2730,4066,6497,7586,6414,2896,2350,1134,1285,987,1,1,100,5,1,22861,38611,1974,1,11
1,1,1,2,1158,943,971,1194,2122,3950,4562,4474,5446,3863,4328,1666,2221,1392,1305,46,1,1,95,23,1,22295,35218,3942,1,11
1,1,1,2,719,652,885,985,1116,1692,2436,6398,6119,6443,6139,2792,1968,2168,950,-74,1,1,80,5,1,23088,38256,1684,1,11
1,1,1,2,769,878,853,890,1154,2522,5859,3322,3686,4723,4215,4182,2150,958,735,-92,1,1,100,5,1,20112,33661,2514,1,11
1,2,2,3,3148,4659,3800,5187,3485,1672,1519,1461,1249,1498,1313,1476,1066,1021,1065,1179,1,1,100,24,2,7399,20947,1664,1,12
2,2,2,4,1013,1068,1309,1515,3700,1608,1516,1683,1789,1183,1315,1085,961,611,-119,-65,1,1,100,24,2,7779,16966,1600,1,12
1,1,1,2,905,878,1032,1027,1334,1324,6748,8694,7193,7448,2801,1466,1331,1032,1029,-292,1,1,100,31,1,31407,40398,1316,1,11
1,1,1,2,1260,1152,1187,1442,1682,2471,4697,5127,6540,7378,5852,2319,2168,1904,1487,1488,1,1,92,1,1,26213,41580,2463,1,11
